user_id,position,title,link,authors,publication,publication_year,cited_by_count
PT8wxO8AAAAJ,1,Bipolar fuzzy graphs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:UebtZRa9Y70C,M Akram,"Information sciences 181 (24), 5548-5564",2011,519
PT8wxO8AAAAJ,2,Interval-valued fuzzy graphs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:eQOLeE2rZwMC,"M Akram, WA Dudek","Computers & Mathematics with Applications 61 (2), 289-299",2011,326
PT8wxO8AAAAJ,3,Strong intuitionistic fuzzy graphs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:mB3voiENLucC,"M Akram, B Davvaz","Filomat 26 (1), 177-196",2012,297
PT8wxO8AAAAJ,4,Intuitionistic fuzzy hypergraphs with applications,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:35N4QoGY0k4C,"M Akram, WA Dudek","Information Sciences 218, 182-193",2013,231
PT8wxO8AAAAJ,5,Bipolar fuzzy graphs with applications,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:vRqMK49ujn8C,M Akram,"Knowledge-Based Systems 39, 1-8",2013,220
PT8wxO8AAAAJ,6,Group decision‐making based on pythagorean fuzzy TOPSIS method,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:OlbiQ0ttILcC,"M Akram, WA Dudek, F Ilyas","International Journal of Intelligent Systems 34 (7), 1455-1475",2019,196
PT8wxO8AAAAJ,7,Regular bipolar fuzzy graphs,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:hFOr9nPyWt4C,"M Akram, WA Dudek","Neural Computing and Applications 21, 197-205",2012,191
PT8wxO8AAAAJ,8,Multi-criteria group decision making based on ELECTRE I method in Pythagorean fuzzy information,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:TewouNez5YAC,"M Akram, F Ilyas, H Garg","Soft Computing 24, 3425-3453",2020,182
PT8wxO8AAAAJ,9,Group decision-making based on complex spherical fuzzy VIKOR approach,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:2MdNiwGT7yoC,"M Akram, C Kahraman, K Zahid","Knowledge-Based Systems 216, 106793",2021,173
PT8wxO8AAAAJ,10,Group decision-making methods based on hesitant N-soft sets,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=PT8wxO8AAAAJ&pagesize=100&citation_for_view=PT8wxO8AAAAJ:4tNoA7Af41QC,"M Akram, A Adeel, JCR Alcantud","Expert Systems with Applications 115, 95-105",2019,143
